Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
Rolex,Submariner,Stainless Steel,Stainless Steel,Automatic,300 meters,40.0,13.0,20.0,Black,Sapphire,Date,48 hours,9500
Omega,Seamaster,Titanium,Rubber,Automatic,600 meters,43.5,14.47,21.0,Blue,Sapphire,Date,60 hours,5800
Tag Heuer,Carrera,Stainless Steel,Leather,Automatic,100 meters,41.0,13.0,20.0,White,Sapphire,Chronograph,42 hours,4200
Breitling,Navitimer,Stainless Steel,Stainless Steel,Automatic,30 meters,43.0,14.25,22.0,Black,Sapphire,Chronograph,70 hours,7900
Cartier,Tank Solo,Stainless Steel,Leather,Quartz,30 meters,31.0,6.05,20.0,Silver,Sapphire,None,,2800
Jaeger-LeCoultre,Reverso,Stainless Steel,Leather,Manual,30 meters,42.9,9.2,20.0,Black,Sapphire,None,45 hours,5500
Seiko,Prospex,Stainless Steel,Rubber,Automatic,200 meters,44.3,12.9,20.0,Black,Sapphire,Date,50 hours,1400
Citizen,Promaster,Stainless Steel,Stainless Steel,Eco-Drive,200 meters,42.0,13.0,22.0,Black,Mineral,Chronograph,270 days,1200
Tissot,Le Locle,Stainless Steel,Leather,Automatic,30 meters,39.3,9.75,19.0,White,Sapphire,Date,38 hours,650
Hamilton,Khaki Field,Stainless Steel,Leather,Automatic,100 meters,38.0,9.8,20.0,Black,Sapphire,None,80 hours,495
Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,38.5,9.7,20.0,Silver,Sapphire,Date,64 hours,1150
Oris,Big Crown ProPilot,Stainless Steel,Textile,Automatic,100 meters,41.0,12.0,20.0,Black,Sapphire,"Date, GMT",38 hours,1800
Bell & Ross,Aviation,Stainless Steel,Rubber,Automatic,100 meters,42.0,11.5,24.0,Black,Sapphire,Chronograph,42 hours,4500
Sinn,104,Stainless Steel,Leather,Automatic,200 meters,41.0,11.5,20.0,Black,Sapphire,Date,42 hours,1400
Breguet,Classique,18k White Gold,Leather,Manual,30 meters,38.0,8.65,20.0,Silver,Sapphire,None,40 hours,16000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Silver,Sapphire,Date,60 hours,22000
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,40 hours,19000
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,14.5,20.0,Black,Sapphire,"Chronograph, Tachymeter",60 hours,4500
Breitling,Superocean,Stainless Steel,Rubber,Automatic,500 meters,42.0,13.3,20.0,Blue,Sapphire,Date,38 hours,3200
Panerai,Luminor Base Logo,Stainless Steel,Leather,Manual,100 meters,44.0,10.5,22.0,Black,Sapphire,None,56 hours,3900
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,11.9,22.0,Black,Sapphire,None,70 hours,3500
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,GMT,48 hours,14000
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,12.5,20.0,Black,Sapphire,Date,42 hours,4800
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.58,20.0,Silver,Sapphire,None,70 hours,7500
Bell & Ross,BR 03-92,Ceramic,Rubber,Automatic,100 meters,42.0,9.3,22.0,Black,Sapphire,None,"4,200",0
Montblanc,1858 Geosphere,Stainless Steel,Leather,Automatic,100 meters,42.0,11.2,22.0,Black,Sapphire,"World Time, GMT",42 hours,6200
Cartier,Santos-Dumont,Stainless Steel,Leather,Quartz,30 meters,38.0,7.5,18.0,Silver,Sapphire,None,,3500
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Black,Sapphire,Date,60 hours,21000
Rolex,Datejust,Stainless Steel,Jubilee,Automatic,100 meters,36.0,12.0,20.0,Silver,Sapphire,Date,70 hours,9000
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,5250
IWC,Portugieser,Stainless Steel,Alligator,Automatic,30 meters,40.4,12.3,20.0,Silver,Sapphire,Date,60 hours,8800
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Black,Sapphire,Date,60 hours,17800
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,11500
Zenith,El Primero,Stainless Steel,Alligator,Automatic,100 meters,42.0,12.75,20.0,Silver,Sapphire,Chronograph,50 hours,6500
Breguet,Classique,18K Rose Gold,Leather,Automatic,30 meters,39.0,8.65,20.0,Silver,Sapphire,None,45 hours,23500
Piaget,Polo S,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,9.4,24.0,Blue,Sapphire,Date,50 hours,10000
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,44.0,12.5,22.0,Blue,Sapphire,Date,60 hours,9500
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,20.0,Silver,Sapphire,Date,60 hours,21500
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43.0,12.27,23.0,Black,Sapphire,None,68 hours,9800
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,19900
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,22.0,Black,Sapphire,Date,120 hours,14400
Breguet,Type XXI,Stainless Steel,Leather,Automatic,100 meters,42.0,13.85,22.0,Silver,Sapphire,Chronograph,48 hours,9500
Bulgari,Octo Finissimo,Titanium,Leather,Automatic,100 meters,40.0,5.15,28.0,Black,Sapphire,None,60 hours,12800
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44.0,13.7,20.0,Black,Sapphire,Chronograph,42 hours,6500
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,20.0,Blue,Sapphire,None,54 hours,7800
Glashütte Original,Senator,Stainless Steel,Leather,Automatic,50 meters,42.0,12.2,21.0,Silver,Sapphire,None,40 hours,9200
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,9.3,20.0,Black,Sapphire,None,42 hours,6500
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,None,60 hours,8400
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43.0,12.13,23.0,Silver,Sapphire,None,68 hours,6200
Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,38.5,9.3,20.0,Blue,Sapphire,Date,42 hours,1600
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,45 hours,29800
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,24500
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,None,60 hours,7950
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,10.5,22.0,Black,Sapphire,None,42 hours,8200
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,11500
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,100 meters,42.0,13.1,22.0,Silver,Sapphire,Chronograph,50 hours,9400
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38.0,10.88,25.0,Blue,Sapphire,None,54 hours,6700
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,11.43,20.0,Black,Sapphire,Chronograph,42 hours,6100
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,60 hours,16300
Montblanc,1858,Stainless Steel,Leather,Automatic,100 meters,42.0,12.8,22.0,Black,Sapphire,None,38 hours,3600
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,300 meters,44.0,12.5,22.0,Black,Sapphire,Date,60 hours,9500
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,11.2,20.0,Silver,Sapphire,Date,70 hours,8900
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,"Date, Moon Phase",48 hours,44500
